iter	Passed	Remaining
0	9	4714
1	27	6895
2	48	8043
3	55	6898
4	62	6221
5	67	5583
6	74	5235
7	79	4909
8	90	4944
9	99	4890
10	105	4706
11	113	4617
12	119	4479
13	124	4330
14	131	4243
15	137	4146
16	146	4159
17	154	4137
18	159	4034
19	165	3961
20	171	3919
21	179	3900
22	185	3847
23	192	3821
24	198	3779
25	206	3772
26	212	3714
27	219	3696
28	226	3678
29	234	3672
30	239	3628
31	246	3611
32	259	3673
33	264	3630
34	269	3585
35	275	3553
36	283	3546
37	291	3545
38	299	3546
39	309	3560
40	328	3681
41	334	3644
42	339	3603
43	347	3601
44	356	3602
45	363	3587
46	370	3566
47	377	3558
48	385	3551
49	401	3609
50	412	3628
51	419	3611
52	426	3597
53	442	3651
54	453	3666
55	464	3686
56	482	3746
57	496	3782
58	506	3787
59	518	3805
