feature,importance
D1,0.0
D2,0.0
D3,0.0
D4,0.0
D5,0.0
D6,0.0
D7,0.0
D8,0.0
D9,0.0
E1,0.0
E10,0.0
E11,0.0
E12,0.0
E13,0.0
E14,0.0
E15,0.0
E16,0.0
E17,0.0
E18,0.0
E19,0.0
E2,0.0
E20,0.0
E3,0.0
E4,0.0
E5,0.0
E6,0.0
E7,0.0
E8,0.0
E9,0.0
I1,0.0
I2,0.0
I3,0.0
I4,0.0
I5,0.0
I6,0.0
I7,0.0
I8,0.0
I9,0.0
M1,0.0
M10,0.0
M11,0.0
M12,0.0
M13,0.0
M14,0.0
M15,0.0
M16,0.0
M17,0.0
M18,0.0
M2,0.0
M3,0.0
M4,0.0
M5,0.0
M6,0.0
M7,0.0
M8,0.0
M9,0.0
P1,0.0
P10,0.0
P11,0.0
P12,0.0
P13,0.0
P2,0.0
P3,0.0
P4,0.0
P5,0.0
P6,0.0
P7,0.0
P8,0.0
P9,0.0
S1,0.0
S10,0.0
S11,0.0
S12,0.0
S2,0.0
S3,0.0
S4,0.0
S5,0.0
S6,0.0
S7,0.0
S8,0.0
S9,0.0
V1,0.0
V10,0.0
V11,0.0
V12,0.0
V13,0.0
V2,0.0
V3,0.0
V4,0.0
V5,0.0
V6,0.0
V7,0.0
V8,0.0
V9,0.0
lagged_market_forward_excess_returns,0.0
lagged_forward_returns,0.0
lagged_risk_free_rate,0.0
feat_lagged_target,0.0
feat_lagged_target_sign,0.0
feat_lagged_target_abs,0.0
feat_lagged_target_2,0.0
feat_lagged_target_3,0.0
feat_lagged_target_5,0.0
feat_target_rolling_mean_5,0.0
feat_target_rolling_std_5,0.0
feat_target_rolling_mean_20,0.0
feat_target_rolling_std_20,0.0
feat_target_volatility_5,0.0
feat_target_volatility_20,0.0
feat_mean_reversion,0.0
feat_autocorr,0.0
feat_momentum_2days,0.0
feat_target_zscore,0.0
feat_lagged_returns,0.0
feat_lagged_rfr,0.0
feat_v_mean,0.0
feat_v_std,0.0
feat_v_max,0.0
feat_v_min,0.0
feat_v_range,0.0
feat_v_median,0.0
feat_high_vol,0.0
feat_low_vol,0.0
feat_extreme_vol,0.0
feat_v_percentile,0.0
feat_v_change,0.0
feat_v_pct_change,0.0
feat_m_mean,0.0
feat_m_sum,0.0
feat_m_max,0.0
feat_m_min,0.0
feat_m_std,0.0
feat_momentum_strength,0.0
feat_positive_momentum,0.0
feat_negative_momentum,0.0
feat_momentum_balance,0.0
feat_momentum_consistency,0.0
feat_m_change,0.0
feat_s_mean,0.0
feat_s_std,0.0
feat_s_max,0.0
feat_s_min,0.0
feat_positive_sentiment,0.0
feat_extreme_sentiment,0.0
feat_s_change,0.0
feat_s_pct_change,0.0
feat_p_mean,0.0
feat_p_std,0.0
feat_p_max,0.0
feat_p_min,0.0
feat_p_change,0.0
feat_i_mean,0.0
feat_i_spread,0.0
feat_i_std,0.0
feat_i_slope,0.0
feat_i_change,0.0
feat_e_mean,0.0
feat_e_std,0.0
feat_e_change,0.0
feat_vol_momentum_interaction,0.0
feat_vol_momentum_ratio,0.0
feat_sentiment_vol_interaction,0.0
feat_momentum_target_alignment,0.0
feat_momentum_divergence,0.0
feat_price_vol_ratio,0.0
feat_v9_was_missing,0.0
feat_E1_was_missing,0.0
feat_E10_was_missing,0.0
feat_E11_was_missing,0.0
feat_E12_was_missing,0.0
feat_E13_was_missing,0.0
feat_E14_was_missing,0.0
feat_E15_was_missing,0.0
feat_E16_was_missing,0.0
feat_E17_was_missing,0.0
feat_E18_was_missing,0.0
feat_E19_was_missing,0.0
feat_E2_was_missing,0.0
feat_E20_was_missing,0.0
feat_E3_was_missing,0.0
feat_E4_was_missing,0.0
feat_E5_was_missing,0.0
feat_E6_was_missing,0.0
feat_E7_was_missing,0.0
feat_E8_was_missing,0.0
feat_E9_was_missing,0.0
